iter	Passed	Remaining
433	1513	1973
434	1516	1969
435	1519	1965
436	1522	1961
437	1525	1957
438	1529	1953
439	1532	1950
440	1535	1946
441	1548	1954
442	1553	1952
443	1557	1949
444	1561	1947
445	1565	1944
446	1568	1940
447	1571	1936
448	1575	1932
449	1578	1929
450	1581	1925
451	1584	1921
452	1588	1917
453	1591	1913
454	1594	1909
455	1597	1906
456	1601	1902
457	1603	1898
458	1607	1894
459	1610	1890
460	1614	1887
461	1617	1883
462	1620	1879
463	1623	1875
464	1627	1872
465	1630	1868
466	1633	1864
467	1636	1860
468	1640	1857
469	1643	1853
470	1647	1850
471	1651	1847
472	1654	1843
473	1658	1840
474	1661	1836
475	1665	1832
476	1668	1829
477	1671	1825
478	1675	1822
479	1678	1818
480	1682	1814
481	1685	1811
482	1688	1807
483	1691	1803
484	1695	1800
485	1698	1796
486	1702	1793
487	1705	1789
488	1708	1785
489	1711	1781
490	1715	1778
491	1718	1774
492	1721	1770
493	1724	1766
494	1727	1762
495	1731	1759
496	1734	1755
497	1737	1751
498	1741	1748
499	1744	1744
500	1747	1740
501	1750	1736
502	1754	1733
503	1757	1729
504	1760	1725
505	1764	1722
506	1767	1718
507	1770	1714
508	1773	1710
509	1776	1707
510	1780	1703
511	1783	1699
512	1786	1696
513	1789	1692
514	1793	1688
515	1796	1684
516	1799	1681
517	1802	1677
518	1806	1673
519	1809	1670
520	1812	1666
521	1815	1662
522	1819	1659
523	1822	1655
524	1826	1652
525	1829	1648
526	1832	1644
527	1835	1641
528	1839	1637
529	1842	1633
530	1845	1630
531	1848	1626
532	1852	1622
533	1855	1619
534	1858	1615
535	1862	1611
536	1865	1608
537	1868	1604
538	1871	1601
539	1875	1597
540	1878	1593
541	1881	1589
542	1884	1586
543	1888	1582
544	1891	1579
545	1894	1575
546	1897	1571
547	1901	1568
548	1904	1564
549	1908	1561
550	1911	1557
551	1914	1553
552	1917	1550
553	1921	1546
554	1924	1542
555	1927	1539
556	1930	1535
557	1934	1532
558	1937	1528
559	1940	1524
560	1943	1520
561	1946	1517
562	1950	1513
563	1953	1509
564	1956	1506
565	1959	1502
566	1963	1499
567	1966	1495
568	1969	1491
569	1972	1488
570	1976	1484
571	1979	1481
572	1982	1477
573	1985	1473
574	1988	1470
575	1992	1466
576	1995	1462
577	1998	1459
578	2001	1455
579	2005	1451
580	2008	1448
581	2011	1444
582	2014	1441
583	2017	1437
584	2021	1433
585	2024	1430
586	2027	1426
587	2031	1423
588	2034	1419
589	2037	1415
590	2040	1412
591	2044	1408
592	2047	1405
593	2050	1401
594	2054	1398
595	2057	1394
596	2061	1391
597	2065	1388
598	2068	1384
599	2071	1381
600	2074	1377
601	2078	1373
602	2081	1370
603	2084	1366
604	2087	1363
605	2091	1359
606	2094	1356
607	2097	1352
608	2100	1348
609	2104	1345
610	2107	1341
611	2110	1338
612	2113	1334
613	2116	1330
614	2120	1327
615	2123	1323
616	2126	1320
617	2129	1316
618	2133	1313
619	2136	1309
620	2139	1305
621	2142	1302
622	2146	1298
623	2149	1295
624	2152	1291
625	2155	1287
626	2159	1284
627	2162	1281
628	2165	1277
629	2168	1273
630	2172	1270
631	2176	1267
632	2179	1263
633	2183	1260
634	2186	1256
635	2190	1253
636	2193	1249
637	2196	1246
638	2199	1242
639	2203	1239
640	2206	1235
641	2209	1232
642	2212	1228
643	2216	1225
644	2219	1221
645	2222	1218
646	2226	1214
647	2229	1211
648	2232	1207
649	2235	1203
650	2238	1200
651	2242	1196
652	2245	1193
653	2248	1189
654	2251	1185
655	2255	1182
656	2258	1179
657	2261	1175
658	2264	1171
659	2268	1168
660	2271	1164
661	2274	1161
662	2277	1157
663	2280	1154
664	2284	1150
665	2287	1147
666	2290	1143
667	2293	1140
668	2297	1136
669	2300	1133
670	2303	1129
671	2307	1126
672	2310	1122
673	2313	1118
674	2316	1115
675	2319	1111
676	2323	1108
677	2326	1104
678	2329	1101
679	2332	1097
680	2335	1094
681	2338	1090
682	2341	1086
683	2345	1083
684	2348	1080
685	2352	1076
686	2355	1073
687	2358	1069
688	2361	1066
689	2365	1062
690	2368	1058
691	2371	1055
692	2374	1052
693	2378	1048
694	2381	1045
695	2384	1041
696	2387	1038
697	2391	1034
698	2394	1030
699	2397	1027
700	2400	1024
701	2403	1020
702	2407	1017
703	2410	1013
704	2413	1009
705	2416	1006
706	2420	1003
707	2423	999
708	2426	996
709	2429	992
710	2433	989
711	2436	985
712	2439	982
713	2443	978
714	2446	975
715	2449	971
716	2453	968
717	2457	965
718	2460	961
719	2464	958
720	2467	954
721	2470	951
722	2474	947
723	2477	944
724	2480	941
725	2484	937
726	2487	934
727	2490	930
728	2493	926
729	2497	923
730	2500	920
731	2503	916
732	2506	913
733	2510	909
734	2513	906
735	2516	902
736	2519	899
737	2523	895
738	2526	892
739	2529	888
740	2532	885
741	2535	881
742	2538	878
743	2541	874
744	2545	871
745	2549	867
746	2553	864
747	2557	861
748	2561	858
749	2564	854
750	2567	851
751	2570	847
752	2573	844
753	2577	840
754	2580	837
755	2583	833
756	2586	830
757	2590	826
758	2593	823
759	2598	820
760	2601	817
761	2605	813
762	2608	810
763	2613	807
764	2617	804
765	2620	800
766	2624	797
767	2629	794
768	2633	791
769	2637	787
770	2641	784
771	2646	781
772	2650	778
773	2653	774
774	2658	771
775	2662	768
776	2666	765
777	2669	761
778	2674	758
779	2678	755
780	2681	751
781	2684	748
782	2687	744
783	2692	741
784	2695	738
785	2699	735
786	2702	731
787	2708	728
788	2712	725
789	2716	721
790	2719	718
791	2724	715
792	2728	712
793	2732	709
794	2736	705
795	2741	702
796	2744	699
797	2748	695
798	2751	692
799	2768	692
800	2775	689
801	2780	686
802	2785	683
803	2790	680
804	2794	676
805	2798	673
806	2801	670
807	2806	666
808	2810	663
809	2814	660
810	2817	656
811	2828	654
812	2831	651
813	2836	648
814	2840	644
815	2844	641
816	2847	637
817	2851	634
818	2855	631
819	2860	627
820	2863	624
821	2868	621
822	2872	617
823	2876	614
824	2879	610
825	2884	607
826	2888	604
827	2892	600
828	2895	597
829	2900	594
830	2904	590
831	2908	587
832	2912	583
833	2917	580
834	2921	577
835	2925	573
836	2928	570
837	2934	567
838	2938	563
839	2941	560
840	2944	556
841	2949	553
842	2953	550
843	2957	546
844	2960	543
845	2964	539
846	2968	536
847	2971	532
848	2974	529
849	2978	525
850	2982	522
851	2985	518
852	2988	514
853	2991	511
854	2995	508
855	2999	504
856	3003	501
857	3006	497
858	3011	494
859	3015	490
860	3020	487
861	3023	484
862	3027	480
863	3038	478
864	3042	474
865	3047	471
866	3051	468
867	3055	464
868	3058	461
869	3063	457
870	3068	454
871	3071	450
872	3074	447
873	3079	444
874	3083	440
875	3087	437
876	3090	433
877	3096	430
878	3100	426
879	3103	423
880	3108	419
881	3112	416
882	3117	413
883	3120	409
884	3125	406
885	3129	402
886	3133	399
887	3136	395
888	3141	392
889	3144	388
890	3147	385
891	3150	381
892	3154	377
893	3157	374
894	3161	370
895	3164	367
896	3167	363
897	3171	360
898	3174	356
899	3177	353
900	3180	349
901	3184	345
902	3187	342
903	3190	338
904	3194	335
905	3197	331
906	3200	328
907	3204	324
908	3207	321
909	3210	317
910	3213	313
911	3217	310
912	3220	306
913	3223	303
914	3227	299
915	3230	296
916	3233	292
917	3237	289
918	3240	285
919	3243	282
920	3246	278
921	3250	274
922	3253	271
923	3256	267
924	3260	264
925	3263	260
926	3266	257
927	3270	253
928	3273	250
929	3277	246
930	3281	243
931	3284	239
932	3287	236
933	3290	232
934	3294	229
935	3297	225
936	3300	221
937	3303	218
938	3306	214
939	3309	211
940	3313	207
941	3316	204
942	3320	200
943	3323	197
944	3326	193
945	3329	190
946	3333	186
947	3336	183
948	3339	179
949	3342	175
950	3345	172
951	3349	168
952	3352	165
953	3355	161
954	3359	158
955	3362	154
956	3365	151
957	3368	147
958	3371	144
959	3374	140
960	3377	137
961	3381	133
962	3384	130
963	3387	126
964	3390	122
965	3393	119
966	3397	115
967	3400	112
968	3403	108
969	3406	105
970	3410	101
971	3413	98
972	3416	94
973	3419	91
974	3423	87
975	3426	84
976	3429	80
977	3432	77
978	3436	73
979	3439	70
980	3442	66
981	3445	63
982	3448	59
983	3452	56
984	3455	52
985	3458	49
986	3461	45
987	3464	42
988	3467	38
989	3471	35
990	3474	31
991	3477	28
992	3480	24
993	3484	21
994	3487	17
995	3490	14
996	3493	10
997	3497	7
998	3500	3
999	3503	0
